Codigo Rude,Genero,Nivel,Curso,Gestion,Promedio,Reprobado,Primer_Anio,Reprobado_siguiente,Reprobaciones_acumuladas,Promedio_ultimos_3,Tendencia_promedio,Variabilidad_promedio,Años_en_sistema,Es_Estudiante_Nuevo,Promedio_global,Mejorando,Delta_promedio,Ratio_reprobacion,Volatilidad_rendimiento,Aceleracion_promedio,Probabilidad_Reprobacion,Nivel_Riesgo
519500012018013,M,Primario,6to A,2024,83,0,2020,,0,83.0,0.0,0.0,1,0,83.0,0.0,0.0,0.0,0.0,0.0,0.005879112969738693,Bajo
519500012018014,M,Primario,6to A,2024,75,0,2019,,0,75.0,0.0,0.0,1,0,75.0,0.0,0.0,0.0,0.0,0.0,0.007913537962927968,Bajo
519500012018016,F,Primario,5to A,2024,70,0,2019,,0,70.0,0.0,0.0,1,0,70.0,0.0,0.0,0.0,0.0,0.0,0.022665817694770923,Bajo
519500012018022,F,Primario,6to A,2024,83,0,2019,,0,83.0,0.0,0.0,1,0,83.0,0.0,0.0,0.0,0.0,0.0,0.004369146360610703,Bajo
519500012018023,M,Primario,5to A,2024,57,1,2019,,1,57.0,0.0,0.0,1,0,57.0,0.0,0.0,1.0,0.0,0.0,0.1719080637811966,Bajo
519500012018025,F,Primario,5to A,2024,49,1,2019,,1,49.0,0.0,0.0,1,0,49.0,0.0,0.0,1.0,0.0,0.0,0.3704399077578012,Medio
519500012018026,M,Primario,6to A,2024,63,0,2019,,0,63.0,0.0,0.0,1,0,63.0,0.0,0.0,0.0,0.0,0.0,0.038935636045267306,Bajo
519500012018027,F,Secundaria,1ro A,2024,83,0,2018,,0,83.0,0.0,0.0,1,0,83.0,0.0,0.0,0.0,0.0,0.0,0.004369146360610703,Bajo
519500012018031,M,Primario,5to A,2024,82,0,2021,,0,82.0,0.0,0.0,1,0,82.0,0.0,0.0,0.0,0.0,0.0,0.005879112969738693,Bajo
5195000120189178,F,Primario,5to A,2024,80,0,2021,,0,80.0,0.0,0.0,1,0,80.0,0.0,0.0,0.0,0.0,0.0,0.005879112969738693,Bajo
519500012019002,F,Primario,4to A,2024,68,0,2021,,0,68.0,0.0,0.0,1,0,68.0,0.0,0.0,0.0,0.0,0.0,0.03773669492967057,Bajo
519500012019003,F,Primario,4to A,2024,72,0,2021,,0,72.0,0.0,0.0,1,0,72.0,0.0,0.0,0.0,0.0,0.0,0.02616295359418099,Bajo
519500012019005,F,Primario,4to A,2024,56,0,2021,,0,56.0,0.0,0.0,1,0,56.0,0.0,0.0,0.0,0.0,0.0,0.28179571371060363,Medio
519500012019007,F,Primario,4to A,2024,64,0,2021,,0,64.0,0.0,0.0,1,0,64.0,0.0,0.0,0.0,0.0,0.0,0.03865971306673902,Bajo
519500012019008,F,Primario,3ro A,2024,61,0,2022,,0,61.0,0.0,0.0,1,0,61.0,0.0,0.0,0.0,0.0,0.0,0.15519162983532875,Bajo
519500012019009,F,Primario,4to A,2024,83,0,2021,,0,83.0,0.0,0.0,1,0,83.0,0.0,0.0,0.0,0.0,0.0,0.005879112969738693,Bajo
519500012019011,F,Primario,4to A,2024,67,0,2021,,0,67.0,0.0,0.0,1,0,67.0,0.0,0.0,0.0,0.0,0.0,0.03773669492967057,Bajo
519500012019016,F,Primario,4to A,2024,82,0,2021,,0,82.0,0.0,0.0,1,0,82.0,0.0,0.0,0.0,0.0,0.0,0.005879112969738693,Bajo
519500012019017,M,Primario,4to A,2024,65,0,2021,,0,65.0,0.0,0.0,1,0,65.0,0.0,0.0,0.0,0.0,0.0,0.03865971306673902,Bajo
519500012019023,F,Primario,5to A,2024,66,0,2021,,0,66.0,0.0,0.0,1,0,66.0,0.0,0.0,0.0,0.0,0.0,0.03773669492967057,Bajo
519500012019024,F,Primario,5to A,2024,68,0,2021,,0,68.0,0.0,0.0,1,0,68.0,0.0,0.0,0.0,0.0,0.0,0.03773669492967057,Bajo
519500012019025,M,Primario,5to A,2024,66,0,2021,,0,66.0,0.0,0.0,1,0,66.0,0.0,0.0,0.0,0.0,0.0,0.03773669492967057,Bajo
519500012019026,M,Primario,4to A,2024,64,0,2021,,0,64.0,0.0,0.0,1,0,64.0,0.0,0.0,0.0,0.0,0.0,0.03865971306673902,Bajo
519500012019027,M,Primario,5to A,2024,59,0,2021,,0,59.0,0.0,0.0,1,0,59.0,0.0,0.0,0.0,0.0,0.0,0.1394148032598931,Bajo
519500012019028,F,Primario,5to A,2024,82,0,2021,,0,82.0,0.0,0.0,1,0,82.0,0.0,0.0,0.0,0.0,0.0,0.005879112969738693,Bajo
519500012019033,M,Primario,6to A,2024,46,1,2019,,1,46.0,0.0,0.0,1,0,46.0,0.0,0.0,1.0,0.0,0.0,0.2245058818732717,Bajo
519500012019034,M,Primario,6to A,2024,72,0,2019,,0,72.0,0.0,0.0,1,0,72.0,0.0,0.0,0.0,0.0,0.0,0.01917390419723164,Bajo
519500012019035,M,Primario,6to A,2024,66,0,2019,,0,66.0,0.0,0.0,1,0,66.0,0.0,0.0,0.0,0.0,0.0,0.027743972312967265,Bajo
5195000120191102,F,Primario,6to A,2024,68,0,2019,,0,68.0,0.0,0.0,1,0,68.0,0.0,0.0,0.0,0.0,0.0,0.027743972312967265,Bajo
5195000120195140,M,Primario,4to A,2024,50,1,2021,,1,50.0,0.0,0.0,1,0,50.0,0.0,0.0,1.0,0.0,0.0,0.3938777689402903,Medio
519500012020001,M,Primario,3ro A,2024,88,0,2022,,0,88.0,0.0,0.0,1,0,88.0,0.0,0.0,0.0,0.0,0.0,0.005879112969738693,Bajo
519500012020003,M,Primario,3ro A,2024,58,0,2022,,0,58.0,0.0,0.0,1,0,58.0,0.0,0.0,0.0,0.0,0.0,0.22101622865475493,Bajo
519500012020004,F,Primario,3ro A,2024,92,0,2022,,0,92.0,0.0,0.0,1,0,92.0,0.0,0.0,0.0,0.0,0.0,0.005879112969738693,Bajo
519500012020006,M,Primario,3ro A,2024,69,0,2022,,0,69.0,0.0,0.0,1,0,69.0,0.0,0.0,0.0,0.0,0.0,0.04207160392335432,Bajo
519500012020007,M,Primario,3ro A,2024,85,0,2022,,0,85.0,0.0,0.0,1,0,85.0,0.0,0.0,0.0,0.0,0.0,0.005879112969738693,Bajo
519500012020008,M,Primario,3ro A,2024,53,1,2022,,1,53.0,0.0,0.0,1,0,53.0,0.0,0.0,1.0,0.0,0.0,0.506523885010877,Alto
519500012020009,M,Primario,3ro A,2024,63,0,2022,,0,63.0,0.0,0.0,1,0,63.0,0.0,0.0,0.0,0.0,0.0,0.0656894949971837,Bajo
519500012020011,M,Primario,3ro A,2024,67,0,2022,,0,67.0,0.0,0.0,1,0,67.0,0.0,0.0,0.0,0.0,0.0,0.04718526044351246,Bajo
519500012020012,M,Primario,3ro A,2024,58,0,2022,,0,58.0,0.0,0.0,1,0,58.0,0.0,0.0,0.0,0.0,0.0,0.22101622865475493,Bajo
519500012020014,M,Primario,3ro A,2024,64,0,2022,,0,64.0,0.0,0.0,1,0,64.0,0.0,0.0,0.0,0.0,0.0,0.048327778258644344,Bajo
